geo,total_confirmed_workers,total_ceiling_workers,overall_gap_ratio,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations
ak,169136.00,210381.00,0.24,0.18,0.16,0.59,0.20,0.14,0.24,0.16,0.13,0.00,0.16,0.13,0.12,0.21,0.19,0.23,0.40,0.25,0.24,0.43,0.22,0.26,0.90
al,1052367.00,1312603.00,0.25,0.17,0.16,0.57,0.18,0.12,0.19,0.12,0.14,0.46,0.17,0.12,0.13,0.23,0.21,0.24,0.38,0.24,0.27,0.41,0.19,0.26,1.33
ar,651357.00,815787.00,0.25,0.19,0.17,0.61,0.17,0.11,0.21,0.11,0.13,0.57,0.17,0.12,0.14,0.23,0.17,0.26,0.41,0.21,0.21,0.42,0.23,0.26,1.27
az,1689938.00,2107505.00,0.25,0.17,0.15,0.67,0.18,0.12,0.19,0.12,0.13,0.60,0.15,0.13,0.13,0.25,0.19,0.25,0.39,0.21,0.27,0.45,0.18,0.28,1.54
ca,9721706.00,12144196.00,0.25,0.15,0.16,0.65,0.17,0.15,0.22,0.13,0.16,0.81,0.15,0.12,0.13,0.24,0.19,0.26,0.34,0.26,0.26,0.47,0.18,0.29,1.50
co,1670292.00,2035690.00,0.22,0.17,0.14,0.69,0.15,0.13,0.20,0.13,0.14,0.47,0.16,0.11,0.13,0.23,0.17,0.26,0.35,0.23,0.24,0.42,0.23,0.29,0.97
ct,899396.00,1110961.00,0.24,0.15,0.16,0.65,0.18,0.14,0.18,0.12,0.13,0.44,0.16,0.12,0.14,0.24,0.20,0.25,0.32,0.21,0.22,0.40,0.20,0.28,1.28
dc,633209.00,769884.00,0.22,0.15,0.12,0.47,0.15,0.14,0.22,0.12,0.12,0.39,0.15,0.13,0.11,0.21,0.16,0.12,0.41,0.23,0.20,0.52,0.16,0.30,0.93
de,266014.00,329127.00,0.24,0.17,0.16,0.60,0.20,0.15,0.19,0.14,0.13,0.00,0.16,0.12,0.13,0.24,0.21,0.21,0.31,0.26,0.25,0.26,0.21,0.30,1.36
fl,5365185.00,6650241.00,0.24,0.17,0.15,0.65,0.18,0.11,0.19,0.12,0.14,0.64,0.15,0.12,0.13,0.24,0.20,0.25,0.38,0.22,0.25,0.46,0.18,0.28,1.26
ga,2758924.00,3451118.00,0.25,0.18,0.14,0.56,0.16,0.13,0.20,0.12,0.14,0.61,0.16,0.12,0.13,0.23,0.20,0.29,0.39,0.21,0.21,0.43,0.19,0.27,1.68
gu,30476.00,38223.00,0.25,0.15,0.15,0.70,0.22,0.12,0.21,0.13,0.16,0.00,0.15,0.13,0.12,0.21,0.18,0.25,0.43,0.23,0.25,0.48,0.19,0.30,1.05
hi,333823.00,411346.00,0.23,0.15,0.19,0.76,0.17,0.10,0.22,0.15,0.13,0.52,0.15,0.11,0.13,0.22,0.18,0.31,0.42,0.22,0.28,0.44,0.17,0.26,1.20
ia,796328.00,987250.00,0.24,0.17,0.14,0.60,0.17,0.15,0.19,0.12,0.14,0.24,0.17,0.11,0.14,0.25,0.19,0.26,0.38,0.25,0.24,0.42,0.21,0.26,1.06
id,417089.00,521834.00,0.25,0.18,0.16,0.68,0.19,0.15,0.18,0.13,0.14,0.63,0.16,0.14,0.13,0.25,0.20,0.27,0.46,0.19,0.21,0.48,0.22,0.25,1.45
il,3125397.00,3950757.00,0.26,0.16,0.15,0.65,0.17,0.13,0.21,0.13,0.13,0.38,0.16,0.12,0.13,0.24,0.18,0.23,0.41,0.23,0.23,0.46,0.18,0.30,1.60
in,1534432.00,1944872.00,0.27,0.17,0.17,0.65,0.17,0.13,0.18,0.12,0.13,0.41,0.16,0.12,0.13,0.24,0.20,0.27,0.41,0.25,0.23,0.42,0.19,0.26,1.62
ks,732213.00,909463.00,0.24,0.16,0.15,0.65,0.16,0.12,0.22,0.13,0.14,0.22,0.16,0.14,0.14,0.24,0.18,0.27,0.38,0.22,0.22,0.39,0.22,0.28,1.29
ky,953651.00,1217395.00,0.28,0.17,0.17,0.60,0.19,0.13,0.17,0.12,0.12,0.38,0.17,0.12,0.14,0.24,0.19,0.28,0.47,0.25,0.22,0.47,0.20,0.28,1.53
la,1004646.00,1252520.00,0.25,0.16,0.19,0.56,0.17,0.11,0.20,0.12,0.12,0.53,0.15,0.13,0.14,0.22,0.20,0.30,0.48,0.22,0.20,0.39,0.20,0.26,1.45
ma,2039465.00,2504052.00,0.23,0.16,0.13,0.63,0.17,0.14,0.20,0.14,0.13,0.73,0.15,0.12,0.13,0.22,0.18,0.19,0.39,0.24,0.23,0.45,0.20,0.28,1.09
md,1662148.00,2065684.00,0.24,0.16,0.15,0.61,0.18,0.16,0.21,0.13,0.13,0.52,0.16,0.13,0.13,0.23,0.18,0.23,0.37,0.23,0.24,0.47,0.22,0.30,1.44
me,330193.00,408580.00,0.24,0.17,0.16,0.73,0.18,0.13,0.17,0.14,0.13,0.64,0.15,0.13,0.14,0.24,0.20,0.24,0.39,0.26,0.21,0.44,0.20,0.27,1.09
mi,2317237.00,2882253.00,0.24,0.16,0.16,0.69,0.17,0.13,0.22,0.12,0.13,0.53,0.16,0.12,0.13,0.24,0.18,0.23,0.40,0.25,0.23,0.42,0.19,0.26,1.32
mn,1494334.00,1854755.00,0.24,0.17,0.13,0.65,0.16,0.14,0.21,0.12,0.15,0.39,0.16,0.12,0.13,0.24,0.19,0.27,0.36,0.22,0.24,0.41,0.22,0.27,1.42
mo,1529600.00,1910378.00,0.25,0.17,0.15,0.65,0.18,0.12,0.23,0.13,0.13,0.28,0.16,0.11,0.13,0.24,0.19,0.25,0.44,0.22,0.24,0.45,0.20,0.26,1.30
ms,562016.00,698779.00,0.24,0.18,0.16,0.58,0.19,0.13,0.19,0.11,0.12,0.70,0.17,0.12,0.14,0.23,0.20,0.27,0.47,0.22,0.23,0.39,0.20,0.27,1.15
mt,261120.00,322188.00,0.23,0.18,0.17,0.67,0.19,0.11,0.17,0.13,0.14,0.36,0.16,0.12,0.13,0.23,0.18,0.21,0.39,0.26,0.24,0.44,0.21,0.26,1.01
nc,2672717.00,3305411.00,0.24,0.17,0.14,0.67,0.17,0.14,0.20,0.12,0.14,0.53,0.16,0.12,0.13,0.24,0.21,0.23,0.36,0.25,0.26,0.44,0.20,0.27,1.18
nd,213835.00,267191.00,0.25,0.18,0.17,0.64,0.20,0.12,0.20,0.15,0.12,0.26,0.16,0.11,0.14,0.24,0.18,0.25,0.45,0.22,0.20,0.42,0.21,0.24,1.41
ne,533557.00,663435.00,0.24,0.18,0.14,0.67,0.19,0.14,0.21,0.12,0.14,0.20,0.16,0.12,0.14,0.25,0.18,0.25,0.37,0.24,0.19,0.33,0.22,0.25,1.17
nh,366441.00,452883.00,0.24,0.16,0.15,0.72,0.17,0.12,0.20,0.13,0.14,0.42,0.15,0.12,0.13,0.25,0.19,0.27,0.38,0.23,0.24,0.41,0.22,0.26,1.12
nj,2315050.00,2902404.00,0.25,0.16,0.15,0.62,0.18,0.12,0.23,0.16,0.14,0.62,0.16,0.12,0.13,0.24,0.19,0.22,0.38,0.23,0.21,0.47,0.19,0.31,1.23
nm,448039.00,552890.00,0.23,0.17,0.17,0.66,0.19,0.13,0.18,0.13,0.13,0.48,0.15,0.12,0.12,0.24,0.18,0.22,0.44,0.21,0.21,0.50,0.22,0.28,1.19
nv,766477.00,976484.00,0.27,0.18,0.21,0.64,0.17,0.12,0.21,0.13,0.15,0.50,0.15,0.13,0.12,0.27,0.20,0.25,0.46,0.22,0.21,0.48,0.18,0.28,1.65
ny,4901450.00,6013189.00,0.23,0.16,0.17,0.60,0.18,0.10,0.19,0.14,0.13,0.63,0.16,0.12,0.13,0.23,0.18,0.30,0.31,0.23,0.23,0.48,0.17,0.31,1.17
oh,2842488.00,3554481.00,0.25,0.16,0.15,0.65,0.17,0.13,0.19,0.12,0.12,0.34,0.16,0.13,0.13,0.24,0.17,0.27,0.41,0.25,0.26,0.43,0.20,0.27,1.38
ok,857239.00,1074055.00,0.25,0.18,0.16,0.63,0.19,0.15,0.18,0.13,0.13,0.49,0.17,0.13,0.14,0.25,0.17,0.28,0.43,0.22,0.20,0.44,0.21,0.26,1.53
or,1007475.00,1255631.00,0.25,0.16,0.14,0.67,0.17,0.12,0.22,0.14,0.14,0.67,0.16,0.12,0.13,0.23,0.20,0.26,0.40,0.26,0.27,0.47,0.21,0.26,1.21
pa,3167775.00,3963126.00,0.25,0.16,0.16,0.64,0.18,0.13,0.20,0.15,0.13,0.47,0.16,0.12,0.13,0.25,0.19,0.24,0.39,0.22,0.24,0.46,0.20,0.27,1.52
pr,515846.00,638090.00,0.24,0.17,0.17,0.50,0.20,0.14,0.17,0.12,0.14,0.46,0.16,0.12,0.12,0.21,0.15,0.29,0.39,0.23,0.23,0.49,0.16,0.26,1.16
ri,261204.00,321404.00,0.23,0.15,0.14,0.71,0.19,0.13,0.20,0.13,0.13,0.00,0.15,0.12,0.14,0.24,0.22,0.25,0.38,0.22,0.20,0.42,0.21,0.27,1.30
sc,1195355.00,1493685.00,0.25,0.18,0.16,0.63,0.18,0.12,0.20,0.13,0.13,0.68,0.15,0.12,0.13,0.24,0.21,0.28,0.40,0.21,0.23,0.45,0.17,0.28,1.56
sd,231938.00,284604.00,0.23,0.18,0.16,0.62,0.20,0.14,0.18,0.13,0.13,0.48,0.16,0.11,0.13,0.24,0.18,0.22,0.40,0.23,0.22,0.37,0.19,0.23,1.05
tn,1695082.00,2119943.00,0.25,0.17,0.18,0.63,0.19,0.12,0.20,0.11,0.13,0.48,0.16,0.12,0.13,0.24,0.19,0.25,0.38,0.24,0.21,0.45,0.21,0.26,1.25
tx,7518007.00,9318201.00,0.24,0.18,0.14,0.61,0.19,0.12,0.21,0.13,0.13,0.37,0.16,0.13,0.12,0.23,0.19,0.32,0.39,0.21,0.23,0.44,0.17,0.27,1.10
ut,921333.00,1141645.00,0.24,0.17,0.17,0.65,0.18,0.12,0.21,0.12,0.14,0.53,0.15,0.13,0.12,0.25,0.17,0.29,0.36,0.20,0.27,0.44,0.20,0.27,1.34
va,2326687.00,2864726.00,0.23,0.16,0.14,0.61,0.16,0.12,0.20,0.13,0.14,0.43,0.15,0.12,0.13,0.23,0.18,0.25,0.37,0.23,0.23,0.46,0.19,0.29,1.25
vi,19168.00,23668.00,0.23,0.19,0.16,0.60,0.19,0.12,0.23,0.12,0.12,0.00,0.15,0.12,0.12,0.21,0.18,0.24,0.40,0.25,0.24,0.42,0.15,0.26,0.98
vt,165003.00,203513.00,0.23,0.16,0.15,0.67,0.17,0.14,0.20,0.15,0.13,0.00,0.16,0.12,0.13,0.26,0.19,0.22,0.37,0.27,0.24,0.46,0.19,0.27,1.07
wa,1975707.00,2435975.00,0.23,0.16,0.15,0.68,0.17,0.16,0.23,0.13,0.15,0.72,0.15,0.13,0.13,0.23,0.20,0.23,0.34,0.24,0.23,0.42,0.21,0.25,1.26
wi,1481630.00,1859735.00,0.26,0.17,0.14,0.68,0.16,0.13,0.19,0.12,0.14,0.28,0.16,0.13,0.13,0.24,0.19,0.23,0.41,0.21,0.26,0.45,0.20,0.26,1.50
wv,373522.00,463419.00,0.24,0.19,0.18,0.63,0.16,0.14,0.22,0.15,0.14,0.58,0.18,0.12,0.14,0.24,0.18,0.26,0.44,0.23,0.25,0.45,0.18,0.27,1.25
wy,136523.00,169882.00,0.24,0.19,0.16,0.66,0.18,0.13,0.21,0.14,0.16,0.18,0.16,0.12,0.13,0.23,0.18,0.25,0.46,0.24,0.24,0.46,0.23,0.24,1.05
